Quarter_Date,Amazon_Revenue(Millions$US)
2020-12-31,"$125,555"
2020-09-30,"$96,145"
2020-06-30,"$88,912"
2020-03-31,"$75,452"
2019-12-31,"$87,437"
2019-09-30,"$69,981"
2019-06-30,"$63,404"
2019-03-31,"$59,700"
2018-12-31,"$72,383"
2018-09-30,"$56,576"
2018-06-30,"$52,886"
2018-03-31,"$51,042"
2017-12-31,"$60,453"
2017-09-30,"$43,744"
2017-06-30,"$37,955"
2017-03-31,"$35,714"
2016-12-31,"$43,741"
2016-09-30,"$32,714"
2016-06-30,"$30,404"
2016-03-31,"$29,128"
2015-12-31,"$35,746"
2015-09-30,"$25,358"
2015-06-30,"$23,185"
2015-03-31,"$22,717"
2014-12-31,"$29,328"
2014-09-30,"$20,579"
2014-06-30,"$19,340"
2014-03-31,"$19,741"
2013-12-31,"$25,586"
2013-09-30,"$17,092"
2013-06-30,"$15,704"
2013-03-31,"$16,070"
2012-12-31,"$21,268"
2012-09-30,"$13,806"
2012-06-30,"$12,834"
2012-03-31,"$13,185"
2011-12-31,"$17,431"
2011-09-30,"$10,876"
2011-06-30,"$9,913"
2011-03-31,"$9,857"
2010-12-31,"$12,947"
2010-09-30,"$7,560"
2010-06-30,"$6,566"
2010-03-31,"$7,131"
2009-12-31,"$9,520"
2009-09-30,"$5,449"
2009-06-30,"$4,651"
2009-03-31,"$4,889"
2008-12-31,"$6,704"
2008-09-30,"$4,264"
2008-06-30,"$4,063"
2008-03-31,"$4,135"
2007-12-31,"$5,672"
2007-09-30,"$3,262"
2007-06-30,"$2,886"
2007-03-31,"$3,015"
2006-12-31,"$3,986"
2006-09-30,"$2,307"
2006-06-30,"$2,139"
2006-03-31,"$2,279"
2005-12-31,"$2,977"
2005-09-30,"$1,858"
2005-06-30,"$1,753"
2005-03-31,"$1,902"
