Quarter_Date,Netflix_Revenue(Millions$US)
2020-12-31,6644
2020-09-30,6436
2020-06-30,6148
2020-03-31,5768
2019-12-31,5467
2019-09-30,5245
2019-06-30,4923
2019-03-31,4521
2018-12-31,4187
2018-09-30,3999
2018-06-30,3907
2018-03-31,3701
2017-12-31,3286
2017-09-30,2985
2017-06-30,2785
2017-03-31,2637
2016-12-31,2478
2016-09-30,2290
2016-06-30,2105
2016-03-31,1958
2015-12-31,1823
2015-09-30,1738
2015-06-30,1645
2015-03-31,1573
2014-12-31,1485
2014-09-30,1409
2014-06-30,1340
2014-03-31,1270
2013-12-31,1175
2013-09-30,1106
2013-06-30,1069
2013-03-31,1024
2012-12-31,945
2012-09-30,905
2012-06-30,889
2012-03-31,870
2011-12-31,876
2011-09-30,822
2011-06-30,789
2011-03-31,719
2010-12-31,596
2010-09-30,553
2010-06-30,520
2010-03-31,494
2009-12-31,445
2009-09-30,423
2009-06-30,409
2009-03-31,394
2008-12-31,360
2008-09-30,341
2008-06-30,338
2008-03-31,326
2007-12-31,302
2007-09-30,294
2007-06-30,304
2007-03-31,305
2006-12-31,277
2006-09-30,256
2006-06-30,239
2006-03-31,224
2005-12-31,193
2005-09-30,173
2005-06-30,164
2005-03-31,152
