Company,Number_of_Employees,Year
Microsoft,61000,2005
Amazon,12000,2005
Google,5680,2005
Facebook,,2005
Netflix,985,2005
Apple ,16820,2005
Microsoft,71000,2006
Amazon,13900,2006
Google,10674,2006
Facebook,,2006
Netflix,1300,2006
Apple ,20186,2006
Microsoft,79000,2007
Amazon,17000,2007
Google,16805,2007
Facebook,,2007
Netflix,1542,2007
Apple ,23700,2007
Microsoft,91000,2008
Amazon,20700,2008
Google,20222,2008
Facebook,,2008
Netflix,1644,2008
Apple ,35100,2008
Microsoft,93000,2009
Amazon,24300,2009
Google,19835,2009
Facebook,,2009
Netflix,1883,2009
Apple ,36800,2009
Microsoft,89000,2010
Amazon,33700,2010
Google,24000,2010
Facebook,,2010
Netflix,2180,2010
Apple ,49400,2010
Microsoft,90000,2011
Amazon,56200,2011
Google,32467,2011
Facebook,3200,2011
Netflix,2348,2011
Apple ,63300,2011
Microsoft,94000,2012
Amazon,88400,2012
Google,53861,2012
Facebook,4619,2012
Netflix,2045,2012
Apple ,76100,2012
Microsoft,99000,2013
Amazon,117300,2013
Google,47756,2013
Facebook,6337,2013
Netflix,2022,2013
Apple ,84400,2013
Microsoft,128000,2014
Amazon,154100,2014
Google,53600,2014
Facebook,9199,2014
Netflix,2189,2014
Apple ,97000,2014
Microsoft,118000,2015
Amazon,230800,2015
Google,61814,2015
Facebook,12691,2015
Netflix,3700,2015
Apple ,110000,2016
Microsoft,114000,2016
Amazon,341400,2016
Google,72053,2016
Facebook,17048,2016
Netflix,4700,2016
Apple ,116000,2016
Microsoft,124000,2017
Amazon,566000,2017
Google,80110,2017
Facebook,25105,2017
Netflix,5500,2017
Apple ,123000,2017
Microsoft,131000,2018
Amazon,647500,2018
Google,98771,2018
Facebook,35587,2018
Netflix,7300,2018
Apple ,132000,2018
Microsoft,144000,2019
Amazon,798000,2019
Google,118899,2019
Facebook,44942,2019
Netflix,8600,2019
Apple ,137000,2019
Microsoft,163000,2020
Amazon,1298000,2020
Google,235301,2020
Facebook,58604,2020
Netflix,9400,2020
Apple ,147000,2020
