Quarter_Date,Apple_Revenue(Millions$US)
2020-12-31,"$111,439"
2020-09-30,"$64,698"
2020-06-30,"$59,685"
2020-03-31,"$58,313"
2019-12-31,"$91,819"
2019-09-30,"$64,040"
2019-06-30,"$53,809"
2019-03-31,"$58,015"
2018-12-31,"$84,310"
2018-09-30,"$62,900"
2018-06-30,"$53,265"
2018-03-31,"$61,137"
2017-12-31,"$88,293"
2017-09-30,"$52,579"
2017-06-30,"$45,408"
2017-03-31,"$52,896"
2016-12-31,"$78,351"
2016-09-30,"$46,852"
2016-06-30,"$42,358"
2016-03-31,"$50,557"
2015-12-31,"$75,872"
2015-09-30,"$51,501"
2015-06-30,"$49,605"
2015-03-31,"$58,010"
2014-12-31,"$74,599"
2014-09-30,"$42,123"
2014-06-30,"$37,432"
2014-03-31,"$45,646"
2013-12-31,"$57,594"
2013-09-30,"$37,472"
2013-06-30,"$35,323"
2013-03-31,"$43,603"
2012-12-31,"$54,512"
2012-09-30,"$35,966"
2012-06-30,"$35,023"
2012-03-31,"$39,186"
2011-12-31,"$46,333"
2011-09-30,"$28,270"
2011-06-30,"$28,571"
2011-03-31,"$24,667"
2010-12-31,"$26,741"
2010-09-30,"$20,343"
2010-06-30,"$15,700"
2010-03-31,"$13,499"
2009-12-31,"$15,683"
2009-09-30,"$12,207"
2009-06-30,"$9,734"
2009-03-31,"$9,084"
2008-12-31,"$11,880"
2008-09-30,"$12,907"
2008-06-30,"$7,464"
2008-03-31,"$7,512"
2007-12-31,"$9,608"
2007-09-30,"$6,789"
2007-06-30,"$5,410"
2007-03-31,"$5,264"
2006-12-31,"$7,115"
2006-09-30,"$4,837"
2006-06-30,"$4,370"
2006-03-31,"$4,359"
2005-12-31,"$5,749"
2005-09-30,"$3,678"
2005-06-30,"$3,520"
2005-03-31,"$3,243"
